id,pubmid
Milne Ross S,31818716
So Isaac,31818716
Andersen Nina,31818716
Dross Sandra,31818716
Coombs Robert W,31818716
Chohan Bhavna,31818716
Yatich Nelly,31818716
Kiptinness Catherine,31818716
Sakr Samah R,31818716
Kiarie James N,31818716
Frenkel Lisa M,31818716
Maina Rachel Wanjiru,31818323
Abubakar Amina,31818323
Kumar Manasi,31818323
Abuga Kennedy,31817394
Ongarora Dennis,31817394
Karumbi Jamlick,31817394
Olulo Millicent,31817394
Kibwage Isaac,31817394
Lutiali P A,31815285
Sonye G O,31815285
Mwatele C,31815285
Njenga S M,31815285
Pettit April C,31814312
Jenkins Cathy A,31814312
Blevins Peratikos Meridith,31814312
Yotebieng Marcel,31814312
Diero Lameck,31814312
Hawerlander Denise,31814312
Shepherd Bryan E,31814312
Sterling Timothy R,31814312
Kinuthia John,31813837
Pintye Jillian,31813837
Abuna Felix,31813837
Mugwanya Kenneth K,31813837
Lagat Harison,31813837
Onyango Dickens,31813837
Begnel Emily,31813837
Dettinger Julia,31813837
Baeten Jared M,31813837
John-Stewart Grace,31813837
Onono Maricianah,31813076
Odwar Tobias,31813076
Abuogi Lisa,31813076
Owuor Kevin,31813076
Helova Anna,31813076
Bukusi Elizabeth,31813076
Turan Janet,31813076
Hampanda Karen,31813076
Harper Beth D,31812783
Nganga Waceke,31812783
Armstrong Robert,31812783
Ham Hazen P,31812783
Vincuilla Julie,31812783
Keenan William J,31812783
Palfrey Judith S,31812783
Russ Christiana M,31812783
Kapulu Melissa C,31803847
Njuguna Patricia,31803847
Hamaluba Mainga M,31803847
Nzinga Jacinta,31811960
Jepkosgei Joyline,31811960
Kipkorir Kebenei C,31811599
Ang'ienda Paul O,31811599
Onyango David M,31811599
Onyango Patrick O,31811599
Goldstein Tracey,31811597
Webala Paul,31811597
Nyatanyi Thierry,31811597
Tremeau-Bravard Alexandre,31811597
Deater-Deckard Kirby,31809879
Di Giunta Laura,31809879
Oburu Paul,31809879
Pastorelli Concetta,31809879
Steinberg Laurence,31809879
Bacchini Dario,31809879
Wanjiku Christopher M,31809549
Njuguna Festus,31809549
Chite Asirwa F,31809549
Mbunya Samuel,31809549
Githinji Cyrus,31809549
Chami Irene,31809546
Shikuku Kibet,31809543
Feldacker Caryl,31809358
Holeman Isaac,31809358
Korir Michael,31809358
Holec Marrianne,31809358
Barnhart Scott,31809358
Brown Lillian B,31809357
Balzer Laura B,31809357
Sang Norton,31809357
Ayieko James,31809357
Chen Yiqun,31809357
Chamie Gabriel,31809357
Charlebois Edwin D,31809357
Camlin Carol S,31809357
Cohen Craig R,31809357
Bukusi Elizabeth,31809357
Havlir Diane V,31809357
Petersen Maya L,31809357
Newton Mark W,31809324
Hurt Savannah E,31809324
McEvoy Matthew D,31809324
Shi Yaping,31809324
Shotwell Matthew S,31809324
Kamau John,31809324
Nabulindo Susane,31809324
Ngumi Zipporah W W,31809324
Sandberg Warren S,31809324
Sileshi Bantayehu,31809324
Qureshi Z,31808245
Amanya Cyrilla,31808025
Birech Zephania,31807965
Matasyoh Josphat C,31807212
Ngongo Bahati Prince,31807107
Ochola Phares,31807107
