pmid,allauthors,num_label
31831642,Chowdhury Rinku Roy,4233
31831642,Visseren-Hamakers Ingrid,29462
31831550,Agarwal Smisha,471
31831550,Anaba Udochisom,1083
31831550,Abuya Timothy,219
31831550,Obadha Melvin,21336
31831550,Warren Charlotte E,30393
31831071,Otina Beatrice,23816
31831071,Wesonga Hezron,30755
31831071,Gicheru Nimmo,7133
31831071,Stuke Kristin,28057
31831071,Poole E Jane,24886
31831071,Colston Angie,4482
31830848,Gichuhi Stephen,7157
31830799,Gichana Josiah Otwoma,7109
31830102,Ushie Boniface Ayanbekongshie,29219
31830102,Juma Kenneth,9883
31830102,Kimemia Grace,11765
31830102,Ouedraogo Ramatou,23875
31830102,Bangha Martin,1918
31830102,Mutua Michael,18593
31830061,Masha Simon Chengo,15453
31830061,Owuor Collins,24069
31830061,Ngoi Joyce Mwongeli,20148
31830061,Sanders Eduard J,26334
31830061,de Villiers Etienne P,31737
31829425,Gichuki Paul M,7173
31829425,Sayasone Somphou,26504
31829046,Rochus David,25721
31828923,Arsenault Catherine,1371
31828923,English Mike,5876
31828923,Gathara David,6861
31828923,Kruk Margaret E,12847
31828435,Towett Erick Kibet,28957
31828207,Kamali Anatoli,10237
31828081,Kanyange L,10513
31828081,Kamau J,10288
31828081,Ombori O,22756
31828081,Muthini M,18439
31827520,Okoth Sheila,22425
31824667,Okumu Mitchel Otieno,22466
31824667,Patel Minal Naran,24396
31824667,Bhogayata Foram Rajnkant,2511
31824667,Ochola Francis Okumu,21576
31824667,Olweny Irene Awuor,22678
31824667,Onono Joshua Orungo,23159
31824667,Gikunju Joseph Kangangi,7221
31824533,Beyene Yoseph,2480
31824533,Gowda Manje,7711
31824533,Olsen Michael,22622
31824533,Robbins Kelly R,25656
31824533,Gao Star Yanxin,6796
31824533,Mugo Stephen,17476
31824533,Prasanna Boddupalli M,24965
31824465,Obanda Vincent,21345
31824465,Ommeh Sheila,22802
31824465,Agwanda Bernard,542
31823955,Ngwieri Thomas,20308
31823955,Allen Holley,843
31823692,Seewald Meghan,26765
31823692,Martin Lisa A,15366
31823692,Echeverri Lina,5607
31823692,Njunguru Jesse,20723
31823692,Hassinger Jane A,8397
31823692,Harris Lisa H,8312
31820117,Ngigi Anastasiah N,20117
31820117,Magu Martin M,14647
31820117,Muendo Boniface M,17383
31819292,Njuguna Irene,20687
31819292,Mburu Caren,15968
31819292,Mugo Cyrus,17456
31819292,Black Danae A,2670
31819292,Itindi Janet,9398
31819292,Onyango Alvin,23206
31819292,Oyiengo Laura,24133
31819292,Wamalwa Dalton,29925
31819062,Sumner Kelsey M,28136
31819062,Obala Andrew A,21341
31819062,Mangeni Judith N,15132
31818716,Chung Michael H,4276
31818716,McGrath Christine J,16153
31818716,Beck Ingrid A,2217
31818716,Levine Molly,13710
31818716,Milne Ross S,16622
31818716,So Isaac,27610
31818716,Andersen Nina,1133
31818716,Dross Sandra,5437
31818716,Coombs Robert W,4544
31818716,Chohan Bhavna,4203
31818716,Yatich Nelly,31321
31818716,Kiptinness Catherine,12062
31818716,Sakr Samah R,26220
31818716,Kiarie James N,11370
31818716,Frenkel Lisa M,6536
31818323,Maina Rachel Wanjiru,14781
31818323,Abubakar Amina,175
31818323,Kumar Manasi,12901
31817394,Abuga Kennedy,187
31817394,Ongarora Dennis,23092
31817394,Karumbi Jamlick,10799
31817394,Olulo Millicent,22643
31817394,Kibwage Isaac,11455
31815285,Lutiali P A,14247
31815285,Sonye G O,27700
31815285,Mwatele C,19053
31815285,Njenga S M,20475
31814312,Pettit April C,24654
31814312,Jenkins Cathy A,9615
31814312,Blevins Peratikos Meridith,2711
31814312,Yotebieng Marcel,31409
31814312,Diero Lameck,5234
31814312,Hawerlander Denise,8428
31814312,Shepherd Bryan E,27044
31814312,Sterling Timothy R,27925
31813837,Kinuthia John,11909
31813837,Pintye Jillian,24769
31813837,Abuna Felix,191
31813837,Mugwanya Kenneth K,17491
31813837,Lagat Harison,13206
31813837,Onyango Dickens,23229
31813837,Begnel Emily,2256
31813837,Dettinger Julia,5151
31813837,Baeten Jared M,1769
31813837,John-Stewart Grace,9704
31813076,Onono Maricianah,23162
31813076,Odwar Tobias,21919
31813076,Abuogi Lisa,199
31813076,Owuor Kevin,24077
31813076,Helova Anna,8516
31813076,Bukusi Elizabeth,3312
31813076,Turan Janet,29114
31813076,Hampanda Karen,8194
31812783,Harper Beth D,8293
31812783,Nganga Waceke,20029
31812783,Armstrong Robert,1349
31812783,Ham Hazen P,8145
31812783,Vincuilla Julie,29451
31812783,Keenan William J,11033
31812783,Palfrey Judith S,24230
31812783,Russ Christiana M,26071
31803847,Kapulu Melissa C,10571
31803847,Njuguna Patricia,20708
31803847,Hamaluba Mainga M,8150
31811960,Nzinga Jacinta,21254
31811960,Jepkosgei Joyline,9637
31811599,Kipkorir Kebenei C,12016
31811599,Ang'ienda Paul O,1185
31811599,Onyango David M,23226
31811599,Onyango Patrick O,23275
31811597,Goldstein Tracey,7586
31811597,Webala Paul,30551
31811597,Nyatanyi Thierry,21153
31811597,Tremeau-Bravard Alexandre,28997
31809879,Deater-Deckard Kirby,5026
31809879,Di Giunta Laura,5183
31809879,Oburu Paul,21469
31809879,Pastorelli Concetta,24376
31809879,Steinberg Laurence,27892
31809879,Bacchini Dario,1747
31809549,Wanjiku Christopher M,30236
31809549,Njuguna Festus,20684
31809549,Chite Asirwa F,4183
31809549,Mbunya Samuel,15962
31809549,Githinji Cyrus,7377
31809546,Chami Irene,3786
31809543,Shikuku Kibet,27095
31809358,Feldacker Caryl,6190
31809358,Holeman Isaac,8778
31809358,Korir Michael,12659
31809358,Holec Marrianne,8776
31809358,Barnhart Scott,2025
31809357,Brown Lillian B,3192
31809357,Balzer Laura B,1903
31809357,Sang Norton,26377
31809357,Ayieko James,1668
31809357,Chen Yiqun,3993
31809357,Chamie Gabriel,3787
31809357,Charlebois Edwin D,3854
31809357,Camlin Carol S,3558
31809357,Cohen Craig R,4407
31809357,Bukusi Elizabeth,3312
31809357,Havlir Diane V,8426
31809357,Petersen Maya L,24635
31809324,Newton Mark W,19909
31809324,Hurt Savannah E,9069
31809324,McEvoy Matthew D,16133
31809324,Shi Yaping,27074
31809324,Shotwell Matthew S,27165
31809324,Kamau John,10294
31809324,Nabulindo Susane,19267
31809324,Ngumi Zipporah W W,20254
31809324,Sandberg Warren S,26316
31809324,Sileshi Bantayehu,27259
31808245,Qureshi Z,25132
31808025,Amanya Cyrilla,937
31807965,Birech Zephania,2611
31807212,Matasyoh Josphat C,15541
31807107,Ngongo Bahati Prince,20157
31807107,Ochola Phares,21589
31807107,Ndegwa Joyce,19552
31807107,Katuse Paul,10919
31806044,Gitonga Lawrence Kirimi,7446
31806044,Boru Waqo Gufu,2883
31806044,Kwena Arthur,13084
31806044,Maritim Marybeth,15282
31806044,Wamicwe Joyce,30012
31806044,Ransom James,25300
31805887,Orwa James,23519
31805887,Mantel Michaela,15181
31805887,Temmerman Marleen,28492
31805127,Obanda Vincent,21345
31805127,Chiyo Patrick I,4192
31805021,Kumar Rashmi,12909
31805021,Canarie Michael F,3580
31803579,Owiti P,24051
31803510,Di Giorgio Laura,5181
31803510,Chuma Jane,4263
31802925,Mercer Tim,16397
31802925,Chang Alice C,3808
31802925,Kerubo Immaculate,11190
31802925,Tran Dan N,28982
31802925,Laktabai Jeremiah,13242
31802925,Pastakia Sonak,24372
31802733,Karanja Diana M S,10598
31802733,Odiere Maurice R,21791
31801562,Omondi Protus,22894
31801562,Burugu Marion,3403
31801562,Matoke-Muhia Damaris,15645
31801562,Too Edwin,28899
31801562,Nambati Eva A,19359
31801562,Chege William,3932
31801562,Musyoka Kelvin B,18314
31801562,Thiongo Kelvin,28628
31801562,Otinga Maureen,23819
31801562,Muregi Francis,18019
31801562,Kimani Francis,11690
31800588,Apondi Edith,1291
31800588,Ayaya Samuel O,1648
31800588,Sang Edwin,26369
31800403,Brown Tim,3206
31800403,Puckett Robert,25045
31800403,Glaubius Robert,7486
31800403,Mutai Kennedy,18345
31800403,Bao Le,1934
31800403,Salomon Joshua A,26257
31800403,Stover John,28015
31798942,Githanga David Peter,7361
31798942,Anzala Omu Aggrey,1271
31798205,Low Jan W,14101
31798205,McEwan Margaret,16134
31798006,Khamis Fathiya M,11255
31798006,Mireji Paul O,16675
31798006,Ombura Fidelis L O,22766
31798006,Awuoche Erick O,1618
31798006,Rono Martin,25841
31798006,Mohamed Samira A,16868
31798006,Tanga Chrysantus M,28342
31798006,Ekesi Sunday,5710
31795999,Aol G,1275
31795999,Desai M,5133
31795739,Wambalaba Francis W,29939
31795739,Son Barbara,27673
31795739,Wambalaba Akosa E,29938
31795739,Nyong'o Dorothy,21211
31795739,Nyong'o Anyang',21210
31794520,Young Peter W,31427
31794520,Zielinski-Gutierrez Emily,31603
31794520,Wamicwe Joyce,30012
31794520,Mukui Irene,17667
31794520,Waruru Anthony,30420
31794520,Kretzschmar Mirjam E,12819
31794520,De Cock Kevin M,4979
31794518,Nyandiko Winstone M,21090
31794518,Koech Myra M,12473
31794518,Daud Ibrahim,4899
31794518,Birgen Elcy,2612
31794332,Opanga Sylvia,23333
31794332,Jan Saira,9529
31792246,Katani Robab,10889
31792246,Schilling Megan A,26571
31792246,Tonui Triza,28892
31792246,Cattadori Isabella M,3712
31792246,Estes Anna B,5979
31792246,Buza Teresia,3456
31792246,Rentsch Dennis,25485
31792246,Stomeo Francesca,27996
31792246,Tiambo Christian,28759
31792246,Radzio-Basu Jessica,25169
31792246,Hudson Peter J,8981
31792246,Kapur Vivek,10572
31792230,Musimbi Zaneta D,18259
31792230,Rono Martin K,25842
31792230,Otieno James R,23746
31792230,Kibinge Nelson,11416
31792230,Ochola-Oyier Lynette Isabella,21602
31792230,de Villiers Etienne Pierre,31738
31792230,Nduati Eunice W,19682
31791358,Tumlinson Katherine,29103
31791358,Jaff Dilshad,9475
31791358,Onyango Dickens Otieno,23231
31791358,Leonard Kenneth L,13648
31791273,Horth Roberta,8873
31791273,Young Peter,31426
31791273,Schaad Nicolas,26528
31791273,Raymond Henry F,25366
31790408,Pigott David M,24725
31790408,Weaver Nicole Davis,30548
31790408,Cromwell Elizabeth A,4691
31790408,Noor Abdisalan M,20784
31790408,Murray Christopher J L,18147
31790408,Hay Simon I,8445
31788558,Ikeda Daniel J,9178
31788558,Jasmin Margareth,9572
31788558,Inimah Maureen,9256
31788558,Agins Bruce D,499
31788320,Oindi Felix Mwembi,22155
31788320,Murage Alfred,17992
31788320,Lema Valentino Manase,13624
31788320,Mukaindo Abraham Mwaniki,17623
31788213,Augustine David J,1551
31788213,Kibet Staline,11412
31788213,Nyangito Moses,21116
31787790,Ojiewo Chris,22176
31787790,Monyo Emmanuel,17010
31787790,Ganga Rao Npvr,6787
31787790,Akpo Essegbemon,694
31786611,Wanjala F O,30207
31786611,Hashim N O,8367
31786611,Otwoma D,23860
31786611,Nyambura C,21022
31786611,Kebwaro J,11025
31786611,Bartilol J,2058
31786611,Chege M,3913
31786595,Ajayi Ai,604
31786246,Carter Jane Y,3666
31786175,Fast Patricia E,6136
31786175,Chinyenze Kundai,4162
31786175,Kaslow David C,10854
31786117,Mogire Reagan M,16838
31786117,Mutua Agnes,18568
31786117,Kimita Wandia,11781
31786117,Kamau Alice,10265
31786117,Bejon Philip,2280
31786117,Adeyemo Adebowale,372
31786117,Williams Thomas N,30937
31786117,Atkinson Sarah H,1515
31784860,Tolosa Tigist A,28856
31784860,Tamiru Amanuel,28323
31784860,Midega Charles A O,16508
31784860,Kelemu Segenet,11055
31784860,Khan Zeyaur R,11281
31783767,Odiere Maurice R,21791
31783753,Gatakaa Hellen,6849
31783753,Ombech Elizabeth,22733
31783753,Omondi Rogers,22897
31783753,Otiato James,23658
31783753,Waringa Vincent,30373
31783753,Okomo Gordon,22362
31783753,Muga Richard,17404
31783753,Ndiritu Moses,19645
31783753,Gwer Samson,8024
31783749,Wekesa Eliud,30621
31782966,Harder Valerie S,8272
31782966,Musau Abednego M,18213
31782966,Musyimi Christine W,18305
31782966,Ndetei David M,19594
31782966,Mutiso Victoria N,18532
31782636,Gichangi Peter,7119
31782636,Njau Irene,20438
31781714,Yonga Gerald,31387
31781714,Ogola Elijah N,22029
31781636,Owuor Sharon Auma,24092
31781636,Mamati Edward George,15061
31781636,Kasili Remmy Wekesa,10845
31781619,Wekesa Sifuna Martin,30636
31781619,Wambui Milka,29999
31781619,Kang'ethe Nganga Joseph,10462
31781619,Wainaina Kariuki Daniel,29718
31781619,Kimani Francis Thuo,11692
31781619,Muregi Francis Wamakima,18021
31781391,Mugendi A G,17442
31781391,Kubo M N,12870
31781391,Nyamu D G,21052
31781391,Mwaniki L M,18987
31781391,Wahome S K,29689
31781391,Haberer J E,8053
31780099,Ndirangu Eunice,19632
31780099,Squires Allison,27780
31778086,Siambi Moses,27186
31778086,Monyo Emmanuel S,17011
31775877,Thitiri Johnstone,28636
31775877,Mwalekwa Laura,18783
31775877,Berkley James A,2403
31775877,Bandsma Robert H J,1914
31775837,Akech Samuel O,634
31775837,Mpoya Ayub,17250
31775581,Ombaka James,22721
31774842,Ajayi Anthony Idowu,605
31774832,Gboko Kossia D T,6955
31774832,Traoré Sylvain G,28989
31774832,Sanhoun Aimé R,26401
31774832,Kirioua Jérôme,12133
31774832,Kaindi Dasel W M,10153
31774832,Nguetta Roland,20183
31774832,Bonfoh Bassirou,2829
31774823,Bett Bernard,2457
31774823,Grace Delia,7728
