pmid,num_label
31807107,21589
31807107,19552
31807107,10919
31806044,7446
31806044,2883
31806044,13084
31806044,15282
31806044,30012
31806044,25300
31805887,23519
31805887,15181
31805887,28492
31805127,21345
31805127,4192
31805021,12909
31805021,3580
31803579,24051
31803510,5181
31803510,4263
31802925,16397
31802925,3808
31802925,11190
31802925,28982
31802925,13242
31802925,24372
31802733,10598
31802733,21791
31801562,22894
31801562,3403
31801562,15645
31801562,28899
31801562,19359
31801562,3932
31801562,18314
31801562,28628
31801562,23819
31801562,18019
31801562,11690
31800588,1291
31800588,1648
31800588,26369
31800403,3206
31800403,25045
31800403,7486
31800403,18345
31800403,1934
31800403,26257
31800403,28015
31798942,7361
31798942,1271
31798205,14101
31798205,16134
31798006,11255
31798006,16675
31798006,22766
31798006,1618
31798006,25841
31798006,16868
31798006,28342
31798006,5710
31795999,1275
31795999,5133
31795739,29939
31795739,27673
31795739,29938
31795739,21211
31795739,21210
31794520,31427
31794520,31603
31794520,30012
31794520,17667
31794520,30420
31794520,12819
31794520,4979
31794518,21090
31794518,12473
31794518,4899
31794518,2612
31794332,23333
31794332,9529
31792246,10889
31792246,26571
31792246,28892
31792246,3712
31792246,5979
31792246,3456
31792246,25485
31792246,27996
31792246,28759
31792246,25169
31792246,8981
31792246,10572
31792230,18259
31792230,25842
31792230,23746
31792230,11416
31792230,21602
31792230,31738
31792230,19682
31791358,29103
31791358,9475
31791358,23231
31791358,13648
31791273,8873
31791273,31426
31791273,26528
31791273,25366
31790408,24725
31790408,30548
31790408,4691
31790408,20784
31790408,18147
31790408,8445
31788558,9178
31788558,9572
31788558,9256
31788558,499
31788320,22155
31788320,17992
31788320,13624
31788320,17623
31788213,1551
31788213,11412
31788213,21116
31787790,22176
31787790,17010
31787790,6787
31787790,694
31786611,30207
31786611,8367
31786611,23860
31786611,21022
31786611,11025
31786611,2058
31786611,3913
31786595,604
31786246,3666
31786175,6136
31786175,4162
31786175,10854
31786117,16838
31786117,18568
31786117,11781
31786117,10265
31786117,2280
31786117,372
31786117,30937
31786117,1515
31784860,28856
31784860,28323
31784860,16508
31784860,11055
31784860,11281
31783767,21791
31783753,6849
31783753,22733
31783753,22897
31783753,23658
31783753,30373
31783753,22362
31783753,17404
31783753,19645
31783753,8024
31783749,30621
31782966,8272
31782966,18213
31782966,18305
31782966,19594
31782966,18532
31782636,7119
31782636,20438
31781714,31387
31781714,22029
31781636,24092
31781636,15061
31781636,10845
31781619,30636
31781619,29999
31781619,10462
31781619,29718
31781619,11692
31781619,18021
31781391,17442
31781391,12870
31781391,21052
31781391,18987
31781391,29689
31781391,8053
31780099,19632
31780099,27780
31778086,27186
31778086,17011
31775877,28636
31775877,18783
31775877,2403
