Id,Degree,Indegree,outDegree
23750,19,19,0
27528,19,19,0
18305,19,19,0
20048,19,19,0
21678,19,19,0
8380,19,19,0
8938,19,19,0
10456,19,19,0
29926,19,19,0
1441,19,19,0
27001,19,19,0
21469,19,19,0
15566,19,19,0
21039,19,19,0
16777,19,19,0
12803,19,19,0
26193,19,19,0
10931,19,19,0
6279,19,19,0
31763,19,19,0
20939,19,19,0
29962,19,19,0
12547,19,19,0
22665,19,19,0
18816,19,19,0
8426,19,19,0
23310,19,19,0
22505,19,19,0
16111,19,19,0
15807,19,19,0
13837,19,19,0
7264,19,19,0
10306,19,19,0
29069,19,19,0
15811,19,19,0
29661,19,19,0
14254,19,19,0
11247,18,18,0
27429,18,18,0
4276,18,18,0
29760,18,18,0
19954,18,18,0
23945,18,18,0
12612,18,18,0
9138,18,18,0
21528,18,18,0
13877,18,18,0
1433,18,18,0
8939,18,18,0
14461,18,18,0
16153,18,18,0
28635,18,18,0
1857,18,18,0
12721,18,18,0
24311,18,18,0
14851,18,18,0
7726,18,18,0
22826,18,18,0
19593,18,18,0
10930,18,18,0
3308,18,18,0
29115,18,18,0
16873,18,18,0
17130,18,18,0
5414,18,18,0
20911,18,18,0
13907,18,18,0
24965,18,18,0
12549,18,18,0
23109,18,18,0
30733,18,18,0
20005,18,18,0
17322,18,18,0
21435,18,18,0
22164,18,18,0
23649,18,18,0
17999,18,18,0
24941,18,18,0
23535,17,17,0
6264,17,17,0
11281,17,17,0
19814,17,17,0
7629,17,17,0
31688,17,17,0
30392,17,17,0
4267,17,17,0
17038,17,17,0
20852,17,17,0
11232,17,17,0
5919,17,17,0
9763,17,17,0
9151,17,17,0
13824,17,17,0
9988,17,17,0
22090,17,17,0
16616,17,17,0
3409,17,17,0
25378,17,17,0
10711,17,17,0
5430,17,17,0
10817,17,17,0
11297,17,17,0
18825,17,17,0
7411,17,17,0
21188,17,17,0
22758,17,17,0
29445,17,17,0
7514,17,17,0
28655,17,17,0
641,17,17,0
26038,17,17,0
2677,17,17,0
17551,16,16,0
17024,16,16,0
28970,16,16,0
21611,16,16,0
27746,16,16,0
13563,16,16,0
3207,16,16,0
30412,16,16,0
14198,16,16,0
22006,16,16,0
18147,16,16,0
24772,16,16,0
19746,16,16,0
24112,16,16,0
10979,16,16,0
10626,16,16,0
10941,16,16,0
27376,16,16,0
24053,16,16,0
12548,16,16,0
1308,16,16,0
5014,16,16,0
14109,16,16,0
31737,16,16,0
3880,16,16,0
14284,16,16,0
1950,16,16,0
27257,16,16,0
916,16,16,0
20394,16,16,0
9986,16,16,0
19623,16,16,0
10781,16,16,0
7974,16,16,0
16738,16,16,0
23756,16,16,0
22837,16,16,0
2345,16,16,0
6849,16,16,0
21090,16,16,0
31137,16,16,0
14500,16,16,0
8639,16,16,0
775,16,16,0
22704,16,16,0
27688,16,16,0
25775,16,16,0
18950,16,16,0
29323,16,16,0
22956,16,16,0
7157,16,16,0
22425,16,16,0
17969,16,16,0
2456,16,16,0
14883,16,16,0
11488,16,16,0
11563,15,15,0
7248,15,15,0
6106,15,15,0
21107,15,15,0
19085,15,15,0
17704,15,15,0
11738,15,15,0
28457,15,15,0
16508,15,15,0
31045,15,15,0
23752,15,15,0
11304,15,15,0
3524,15,15,0
7315,15,15,0
3558,15,15,0
30420,15,15,0
22586,15,15,0
1568,15,15,0
20684,15,15,0
22393,15,15,0
30456,15,15,0
8761,15,15,0
10252,15,15,0
4113,15,15,0
28636,15,15,0
18655,15,15,0
1489,15,15,0
16019,15,15,0
14812,15,15,0
3659,15,15,0
7417,15,15,0
29900,15,15,0
3361,15,15,0
23567,15,15,0
23748,15,15,0
7308,15,15,0
7366,15,15,0
1606,15,15,0
14106,15,15,0
31603,15,15,0
3156,15,15,0
30415,15,15,0
8655,15,15,0
18267,15,15,0
21856,15,15,0
16775,15,15,0
13250,15,15,0
2208,15,15,0
29679,15,15,0
31515,15,15,0
23480,15,15,0
12641,15,15,0
29198,15,15,0
14912,15,15,0
30463,15,15,0
20198,15,15,0
28255,14,14,0
22433,14,14,0
18138,14,14,0
