30072434	PMC6099893	 Proc Natl Acad Sci U S A	 2018 Aug 14
30072372	NA	 Glob Health Sci Pract	 2018 Aug 2
30071799	NA	 Int J STD AIDS	 2018 Aug 2
30071065	PMC6072068	 PLoS One	 2018 Aug 2
30071060	PMC6072064	 PLoS One	 2018 Aug 2
30069983	NA	 Stud Fam Plann	 2018 Aug 1
30069231	PMC6065150	 Child Adolesc Psychiatry Ment Health	 2018 Jul 30
30069093	PMC6050789	 J Neurosci Rural Pract	 2018 Jul-Sep
30069075	PMC6043911	 New For (Dordr)	 2018
30068501	PMC6094086	 JMIR Mhealth Uhealth	 2018 Aug 1
30067811	PMC6070271	 PLoS One	 2018 Aug 1
30067272	NA	 Cardiovasc J Afr	 2018 May/Jun
30066610	NA	 J Int Med Res	 2018 Aug 1
30065835	PMC6060476	 Arch Public Health	 2018 Jul 26
30064968	PMC6092593	 J Med Internet Res	 2018 Jul 31
30064498	PMC6069807	 Parasit Vectors	 2018 Jul 31
30064104	NA	 Sci Total Environ	 2018 Jul 24
30063651	NA	 J Acquir Immune Defic Syndr	 2018 Jul 25
30063649	NA	 J Acquir Immune Defic Syndr	 2018 Jul 25
30062482	NA	 Soc Psychiatry Psychiatr Epidemiol	 2018 Jul 30
30061964	PMC6061825	 Pan Afr Med J	 2018 Apr 2
30061917	PMC6058385	 Ann Gen Psychiatry	 2018 Jul 25
30061104	NA	 BMJ	 2018 Jul 30
30059706	NA	 Brain Res Bull	 2018 Jul 27
30058955	NA	 Reprod Health Matters	 2018 Dec
30057796	PMC6058174	 BMJ Glob Health	 2018 Jul 23
30056650	NA	 Asian-Australas J Anim Sci	 2018 Jul 26
30055581	PMC6064164	 BMC Infect Dis	 2018 Jul 28
30055576	PMC6064123	 BMC Pregnancy Childbirth	 2018 Jul 28
30055002	NA	 J Child Psychol Psychiatry	 2018 Jul 28
30053261	NA	 Trans R Soc Trop Med Hyg	 2018 Aug 1
30053035	PMC6037084	 Health Policy Plan	 2018 Jul 1
30052939	PMC6097455	 Health Policy Plan	 2018 Sep 1
30052335	NA	 Afr J Reprod Health	 2018 Jun
30051802	NA	 J Med Microbiol	 2018 Jul 27
30051647	NA	 Pediatr Blood Cancer	 2018 Jul 26
30051192	NA	 AIDS Behav	 2018 Jul 26
30050960	PMC6036869	 J Res Pharm Pract	 2018 Apr-Jun
30050953	NA	 J Vet Med	 2018 Jun 28
30050752	PMC6058349	 Int J Parasitol Parasites Wildl	 2018 Feb 3
30050616	PMC6057580	 Pan Afr Med J	 2018 Mar 15
30049267	PMC6062880	 BMC Public Health	 2018 Jul 27
30048982	NA	 Horm Res Paediatr	 2018 Jul 26
30047987	NA	 Int J Gynaecol Obstet	 2018 Jul 26
30047573	NA	 J Int AIDS Soc	 2018 Jul
30047080	NA	 Matern Child Health J	 2018 Jul 25
30046310	NA	 Int J Microbiol	 2018 Jun 26
30045711	PMC6060450	 BMC Public Health	 2018 Jul 25
30045700	PMC6060498	 BMC Pediatr	 2018 Jul 25
30044888	PMC5998906	 BMC Proc	 2018 Apr 24
30044834	PMC6059459	 PLoS One	 2018 Jul 25
30044335	NA	 Sex Transm Dis	 2018 Jul 24
30041605	PMC6057010	 BMC Public Health	 2018 Jul 24
30041516	NA	 J Agric Food Chem	 2018 Aug 15
30041058	NA	 Child Abuse Negl	 2018 Jul 21
30039785	NA	 Am J Trop Med Hyg	 2018 Jul 23
30039512	NA	 J Clin Nurs	 2018 Jul 24
30038869	PMC6054865	 PeerJ	 2018 Jul 19
30038793	PMC6052626	 Pilot Feasibility Stud	 2018 Jul 18
30038771	PMC6053572	 Ecol Evol	 2018 Jun 17
30038503	PMC6052494	 Microbiol Insights	 2018 Jul 18
30038420	PMC6056465	 Sci Rep	 2018 Jul 23
30037876	PMC6059345	 BMJ Open	 2018 Jul 23
30037312	NA	 AIDS Care	 2018 Jul 23
30037280	NA	 Food Nutr Bull	 2018 Jan 1
30037217	NA	 J Agric Food Chem	 2018 Aug 22
30036382	PMC6072204	 PLoS Negl Trop Dis	 2018 Jul 23
30036072	NA	 AIDS Patient Care STDS	 2018 Jul 23
30033563	NA	 J Int AIDS Soc	 2018 Jul
30033535	NA	 J Int AIDS Soc	 2018 Jul
30033518	NA	 J Anim Ecol	 2018 Jul 23
30033078	PMC6069675	 Lancet Haematol	 2018 Aug
30032975	NA	 Lancet	 2018 Jul 28
30031730	NA	 Lancet Glob Health	 2018 Jul 18
30031013	PMC6095940	 Prev Med	 2018 Sep
30029620	PMC6057552	 BMC Pediatr	 2018 Jul 20
30029120	NA	 Sci Total Environ	 2018 Jul 16
30028852	PMC6054376	 PLoS One	 2018 Jul 20
30028209	NA	 Ecol Food Nutr	 2018 Jul-Aug
30027825	NA	 Reprod Health Matters	 2018 Dec
30027750	NA	 Int J Environ Health Res	 2018 Jul 20
30027668	NA	 J Int AIDS Soc	 2018 Jul
30027132	PMC6031224	 VideoGIE	 2017 Oct 12
30026746	NA	 Front Plant Sci	 2018 Jul 5
30026177	PMC6072973	 JMIR Mhealth Uhealth	 2018 Jul 19
30025968	NA	 Diagn Microbiol Infect Dis	 2018 Jun 22
30025807	NA	 Lancet	 2018 Jul 14
30024908	PMC6053148	 PLoS One	 2018 Jul 19
30024805	NA	 Am J Public Health	 2018 Sep
30024433	NA	 JBI Database System Rev Implement Rep	 2018 Jul 17
30021855	PMC6077718	 Proc Natl Acad Sci U S A	 2018 Jul 31
30021564	PMC6052645	 BMC Cancer	 2018 Jul 18
30020964	PMC6051581	 PLoS One	 2018 Jul 18
30020940	PMC6051576	 PLoS One	 2018 Jul 18
30020479	NA	 J Med Entomol	 2018 Jul 18
30019625	NA	 Thyroid	 2018 Aug 22
30018833	NA	 Case Rep Obstet Gynecol	 2018 May 31
30018088	NA	 Sex Transm Infect	 2018 Jul 17
30017946	NA	 Int J Infect Dis	 2018 Jul 11
30017827	NA	 Microb Pathog	 2018 Jul 12
